Date,Id,suburb,postalCode,sellPrice,bed,bath,car,propType
2016-12-10,247,Avalon Beach,2107,2055000,4.0,3,2.0,house
2016-12-08,248,Avalon Beach,2107,1350000,5.0,3,,house
2016-12-08,249,Bilgola Plateau,2107,1325000,3.0,1,1.0,house
2016-11-26,250,Bilgola Plateau,2107,1960000,5.0,4,2.0,house
2016-11-18,251,Avalon Beach,2107,2100000,5.0,2,2.0,house
2016-11-17,252,Avalon Beach,2107,1160000,3.0,2,2.0,duplex/semi-detached
2016-11-16,253,Bilgola Plateau,2107,1400000,3.0,2,2.0,house
2016-11-11,254,Avalon Beach,2107,2100000,4.0,2,3.0,house
2016-11-11,255,Avalon Beach,2107,1602000,4.0,3,2.0,house
2016-11-07,256,Clareville,2107,3575000,5.0,4,2.0,house
2016-11-07,257,Avalon Beach,2107,1390000,3.0,2,,house
2016-10-29,258,Avalon Beach,2107,1750000,4.0,1,2.0,house
2016-10-26,259,Clareville,2107,1935000,2.0,1,3.0,house
2016-10-26,260,Avalon Beach,2107,1460000,4.0,2,2.0,house
2016-10-21,261,Avalon Beach,2107,1305000,4.0,2,2.0,house
2016-10-19,262,Avalon Beach,2107,1875000,5.0,3,3.0,house
2016-10-19,263,Avalon Beach,2107,1256000,3.0,1,2.0,house
2016-10-18,264,Avalon Beach,2107,1800000,3.0,2,2.0,house
2016-10-13,265,Clareville,2107,3200000,3.0,2,3.0,house
2016-10-13,266,Avalon Beach,2107,1405000,4.0,3,3.0,townhouse
2016-10-13,267,Avalon Beach,2107,1350000,3.0,2,2.0,townhouse
2016-10-12,268,Avalon Beach,2107,1675000,3.0,2,2.0,townhouse
2016-10-12,269,Avalon Beach,2107,1430000,3.0,2,1.0,house
2016-10-12,270,Avalon Beach,2107,1290000,3.0,2,2.0,house
2016-10-10,271,Avalon Beach,2107,2480000,4.0,3,2.0,townhouse
2016-10-07,272,Avalon Beach,2107,1500000,4.0,2,2.0,house
2016-10-01,273,Avalon Beach,2107,2100000,4.0,3,3.0,house
2016-09-27,274,Avalon Beach,2107,1305000,3.0,2,2.0,townhouse
2016-09-26,275,Avalon Beach,2107,1305000,4.0,3,2.0,house
2016-09-26,276,Avalon Beach,2107,1210000,3.0,1,1.0,house
2016-09-21,277,Bilgola Beach,2107,3550000,4.0,5,2.0,house
2016-09-21,278,Bilgola Plateau,2107,1410000,4.0,2,2.0,house
2016-09-14,279,Bilgola Beach,2107,2450000,4.0,3,2.0,house
2016-09-14,280,Avalon Beach,2107,1055000,3.0,2,2.0,house
2016-09-13,281,Whale Beach,2107,3300000,4.0,3,4.0,house
2016-09-10,282,Avalon Beach,2107,1775000,4.0,2,2.0,house
2016-09-10,283,Avalon Beach,2107,1310000,3.0,2,2.0,house
2016-09-05,284,Avalon Beach,2107,1650000,4.0,1,1.0,house
2016-09-03,285,Avalon Beach,2107,1260000,2.0,1,,house
2016-08-28,286,Avalon Beach,2107,1380000,4.0,3,2.0,house
2016-08-27,287,Bilgola Plateau,2107,1581000,4.0,2,1.0,house
2016-08-27,288,Avalon Beach,2107,1425000,3.0,1,1.0,house
2016-08-26,289,Avalon Beach,2107,2075000,4.0,2,2.0,house
2016-08-17,290,Avalon Beach,2107,1655000,3.0,2,2.0,house
2016-08-13,291,Avalon Beach,2107,1295000,4.0,1,2.0,house
2016-08-12,292,Avalon Beach,2107,2450000,5.0,3,4.0,house
2016-07-16,293,Avalon Beach,2107,1730000,3.0,2,2.0,house
2016-07-12,294,Avalon Beach,2107,1275000,3.0,2,1.0,house
2016-07-05,295,Avalon Beach,2107,1475000,4.0,1,1.0,house
2016-07-02,296,Avalon Beach,2107,1999999,4.0,2,2.0,house
2016-06-21,297,Avalon Beach,2107,2400000,5.0,3,2.0,house
2016-06-21,298,Avalon Beach,2107,1069000,3.0,1,,house
2016-06-20,299,Avalon Beach,2107,1400000,3.0,2,1.0,house
2016-06-09,300,Avalon Beach,2107,2125000,4.0,2,3.0,house
2016-06-03,301,Bilgola Plateau,2107,1350000,4.0,2,2.0,house
2016-05-31,302,Bilgola Plateau,2107,1375000,4.0,2,2.0,house
2016-05-26,303,Avalon Beach,2107,1450000,4.0,2,2.0,house
2016-05-25,304,Avalon Beach,2107,1370000,4.0,2,2.0,house
2016-05-12,305,Avalon Beach,2107,2010000,4.0,2,2.0,house
2016-05-12,306,Avalon Beach,2107,1845000,4.0,3,2.0,house
2016-05-11,307,Avalon Beach,2107,1325000,4.0,2,6.0,house
2016-05-10,308,Avalon Beach,2107,1550000,3.0,2,2.0,house
